"aha-compress","714","0","0"
"aha-mont64","1080","0","24"
"bs","140","120","0"
"bubblesort","630","0","412"
"cnt","254","0","420"
"compress","1302","45","2628"
"cover","158","0","0"
"crc","734","0","770"
"crc32","1166","0","0"
"ctl-stack","636","0","20"
"ctl-string","902","0","40"
"ctl-vector","1012","0","32"
"cubic","2650","0","0"
"dijkstra","988","400","516"
"dtoa","6514","24","2352"
"duff","332","0","200"
"edn","3004","0","1612"
"expint","384","0","12"
"fac","134","0","0"
"fasta","254","156","0"
"fdct","1066","128","0"
"fibcall","112","0","0"
"fir","3206","0","0"
"frac","870","80","0"
"huffbench","1776","4","0"
"insertsort","262","0","44"
"janne_complex","128","0","8"
"jfdctint","1134","0","256"
"lcdnum","175","0","5"
"levenshtein","442","20","0"
"ludcmp","1322","0","340"
"matmult-float","938","0","1204"
"matmult-int","2004","0","4804"
"mergesort","2176","0","800"
"miniz","18820","4","2400"
"minver","1154","36","188"
"nbody","1126","320","0"
"ndes","2400","8","376"
"nettle-arcfour","500","0","276"
"nettle-cast128","16184","0","100"
"nettle-des","8476","0","144"
"nettle-md5","2518","80","0"
"newlib-exp","764","0","4"
"newlib-log","142","0","4"
"newlib-mod","544","0","4"
"newlib-sqrt","496","0","48"
"ns","66","0","0"
"nsichneu","15536","8","60"
"picojpeg","9416","0","2368"
"prime","194","0","12"
"qrduino","7568","0","48"
"qsort","562","80","400"
"qurt","682","36","28"
"recursion","152","0","8"
"rijndael","18374","12","12"
"select","490","80","8"
"sglib-arraybinsearch","174","400","4"
"sglib-arrayheapsort","376","400","400"
"sglib-arrayquicksort","394","400","400"
"sglib-dllist","562","400","0"
"sglib-hashtable","466","400","80"
"sglib-listinsertsort","286","400","0"
"sglib-listsort","306","400","0"
"sglib-queue","380","400","0"
"sglib-rbtree","964","400","0"
"slre","2644","62","12"
"sqrt","430","0","0"
"st","1514","4","1644"
"statemate","3772","0","292"
"stb_perlin","3962","192","0"
"stringsearch1","1016","104","4632"
"strstr","328","8","0"
"tarai","212","0","12"
"template","66","0","0"
"trio-snprintf","4753","0","12"
"trio-sscanf","5245","4","548"
"ud","646","0","1764"
"whetstone","4112","244","96"
"wikisort","5068","4","3212"
